
> theandril@0.1.0 art:validate /home/telephoneheater/Work/Theandril-release
> tsx scripts/art.ts validate

settlement.town.lantern_hospices (BRIEF_READY): PASS e995c93229c263e4372f31215f8c1f5651b5a1d7de132aa5fcb9021d7573548b
settlement.town.manytrack_moot (BRIEF_READY): PASS 7afe13cc8628d6a13d6b998eaba01c0c84e70406dc91e132498a96c1c29d48f4
settlement.town.margin_observance (BRIEF_READY): PASS c7c602ecededf36ea75a1068217cf59b0ff1c5e6199abc6f408cf5f1224b67d0
settlement.town.mire_courts (BRIEF_READY): PASS cf01681c2880ac8a613fc6894d0d66e4c80f129feb71af40a3d0975edcc0ff32
settlement.town.morrow_spore (BRIEF_READY): PASS 187af98e2f55e28ed63f7c64ffd83c4ac634962ae0acca3bf4707a8af47f29a3
settlement.town.red_sluice (BRIEF_READY): PASS 13da84e07e1cbc2535891a003b4d07f6bc590b7c4531a70f7eb1de473cfec8b0
settlement.town.reedbound_council (BRIEF_READY): PASS c33d90382390bc347b28288ae0ad464b90a7708159abd4c9f76644df84ce6706
settlement.town.rimehorn_clans (BRIEF_READY): PASS 7676e36691f96e3076e59a22ba6fccba222e1faf2d66e3480b77e9238c285e6b
settlement.town.sable_steppe (BRIEF_READY): PASS f0e34415aba19e8f1b4163481cca55fe061cb9c3012b26200fee770d90f44c8d
settlement.town.saltwind_remnant (BRIEF_READY): PASS b0ae4baf730826dcad69f1220553b76b9b2de7f92c604655f5c1bc3456d810ba
settlement.town.sepulchral_synod (BRIEF_READY): PASS c9931d5a0da3d9aca747b128cbd9a3a0425405e6603d7fe632a2c146532b76cc
settlement.town.underhush_exchange (BRIEF_READY): PASS 8679855da386837f2e3457aaf19521f6bcab7883d76ea6688fcedabf04757367
settlement.town.unsealed_companies (BRIEF_READY): PASS 0e72ac7e3da1171fa6bf8a2b951960ccb64a74b6cd50ba8b6823ca252275e1a3
settlement.town.velvet_meridian (BRIEF_READY): PASS b71bea6603a383299a868d12450d2c6ae475b751f9a3fdd67097d7cd5b0ec49b
settlement.town.vesper_court (BRIEF_READY): PASS 8c7e98ac6f4dd4aa8be65f15f5b54408de4515fbff846426c77c0a7eb82fc98d
settlement.town.wardhall_remnant (BRIEF_READY): PASS 9772047c9d10d7abd8867a1a9f981444cb487dc10c61c13c3e84d5e8c322885e
settlement.village.ashen_compact (BRIEF_READY): PASS c11c45d6edca611e9bb0009de02e23fa826b5a3e36c3363113426d26d8112987
settlement.village.brine_choir (BRIEF_READY): PASS bdbeb33b6a94ad99c18bcfbaf0012280d35c85273e0b6d880b9601b110de0a66
settlement.village.cairnwing_concord (BRIEF_READY): PASS 0fd049762ede45535d5c02d76ec339d062d3105f9ffb9dfd77b3d7de59d2b735
settlement.village.cinder_march (BRIEF_READY): PASS caee98724dac62a8a9b16c0dd411a6eb53bb88fb5ea983c2d3ad8b1743e9c6c1
settlement.village.cistern_assembly (BRIEF_READY): PASS 95850412f0eb259e811b38573464d11e1bb51feca51965ca140d86c2fb299754
settlement.village.emberwake_convocation (BRIEF_READY): PASS 49808d539a0fba44b3b6bff6d34da5bbea03fc8402cee5be68ac79a40027138e
settlement.village.glass_tide (BRIEF_READY): PASS 29e14ee7fe44136a2c71911e53e1497a2cf152ccdd96be06b4bdf3d4fdb396ec
settlement.village.iron_covenant (BRIEF_READY): PASS 62d0272eaf961901767b8007d9664215ea09adcac50909d51be93dfc312d9517
settlement.village (BRIEF_READY): PASS 59b8df49cd743998b1f62d61a109c67138dfd26e74aab687057c6810be036f57
settlement.village.lantern_hospices (BRIEF_READY): PASS af702bfdc80b1b4f1bdeb97de75af4b7309d347f0ac5a66db51a8b5415591346
settlement.village.manytrack_moot (BRIEF_READY): PASS ec0706d865fb4aecace794291f51ce21f763e71c7e07e79ef4f428369bcd290b
settlement.village.margin_observance (BRIEF_READY): PASS 66136ed9acb585e91b49a3295709a77b6bedea7bb0c8a1cc6a2bb18f05eee8bc
settlement.village.mire_courts (BRIEF_READY): PASS d41e6a4920c020b84f566fd9f9e4f99c5c4b6dc4033e0b768bf0d8a969c3686d
settlement.village.morrow_spore (BRIEF_READY): PASS aacd82169d4b3fba96a6e23105c24a2c16ffc3e172795c4736e75637854e62a5
settlement.village.red_sluice (BRIEF_READY): PASS 443221d0b1db1176c8c10d941c46228030972748bad0c27a36c3aa727706cbd6
settlement.village.reedbound_council (BRIEF_READY): PASS 408b68c290600593e024f5c1d2d97658279b78c3894a56abb256c7bc665f54a8
settlement.village.rimehorn_clans (BRIEF_READY): PASS dfcdd2f6982fb72716a67f5cd1ad325e5e7250bc99de4c3263cb006ff9face68
settlement.village.sable_steppe (BRIEF_READY): PASS 1716353548305d8b369e207a3ae2df4c5ce25a869320fb2581563061edec50e0
settlement.village.saltwind_remnant (BRIEF_READY): PASS 79840ddec12b983e6ec0e4e747f17d190f369e5be5ed92b562096674f088aad8
settlement.village.sepulchral_synod (BRIEF_READY): PASS 932438eb8e315948c564232b09299b84af320eb721e0438758ff431ddd875601
